Actual,Predicted,Anomaly_Score,Explanation
1,1,-0.16141741447671631,High packet rate (possible DoS)
1,1,-0.15439960408412035,High packet rate (possible DoS)
0,0,0.03452662499593501,"Data imbalance (possible exfiltration), Traffic spike detected"
1,1,-0.10412871566984172,Data imbalance (possible exfiltration)
1,1,-0.12364013744912572,
0,0,0.08812612018639132,Traffic spike detected
0,1,-0.04474729459453147,Data imbalance (possible exfiltration)
1,0,0.020861824010415975,
0,0,0.07643737148226393,
1,1,-0.03165885164877941,
1,0,0.00015404296680626706,
0,0,0.008949741592911564,
1,1,-0.15876638111276997,High packet rate (possible DoS)
1,1,-0.17935349067964423,"High packet rate (possible DoS), High error rate (suspicious behavior)"
0,1,-0.04704844579289197,Traffic spike detected
0,0,0.09221401483079122,
0,0,0.09047527290233259,
0,0,0.0911171601681301,
0,1,-0.08115278266845383,High packet rate (possible DoS)
1,1,-0.1639785199905528,High packet rate (possible DoS)
1,1,-0.13912700705095282,High packet rate (possible DoS)
1,1,-0.13599372914170116,High error rate (suspicious behavior)
0,0,0.09256540384646506,
0,0,0.08944320789632265,
1,1,-0.13927162284779915,High packet rate (possible DoS)
1,1,-0.15756318595282126,High packet rate (possible DoS)
0,0,0.08091164375005133,Traffic spike detected
0,0,0.09343008234813827,
1,1,-0.11316448453571948,"High packet rate (possible DoS), Data imbalance (possible exfiltration)"
0,1,-0.07714011288894446,High packet rate (possible DoS)
1,1,-0.07576786169754451,"Data imbalance (possible exfiltration), Traffic spike detected"
0,0,0.026420442099827413,Data imbalance (possible exfiltration)
0,0,0.07773112457091846,Traffic spike detected
0,1,-0.08776324067069413,
1,1,-0.2027145198951812,High packet rate (possible DoS)
1,1,-0.1595865732113091,
0,0,0.09037420891011688,Traffic spike detected
1,1,-0.008975660554890963,
0,0,0.03432438974316415,High packet rate (possible DoS)
0,0,0.028115905701578958,"Data imbalance (possible exfiltration), Traffic spike detected"
1,1,-0.18997462731282455,"High packet rate (possible DoS), High error rate (suspicious behavior)"
0,0,0.09207252354110235,Traffic spike detected
0,0,0.06704070946143548,
0,0,0.0719097525008991,
1,1,-0.14754179551330437,High packet rate (possible DoS)
0,0,0.0909967851029348,
1,1,-0.20077914616512105,"High packet rate (possible DoS), High error rate (suspicious behavior)"
1,0,0.029720013442590065,"Data imbalance (possible exfiltration), Traffic spike detected"
1,1,-0.1719646080852929,High error rate (suspicious behavior)
0,1,-0.01130302104027986,High packet rate (possible DoS)
0,0,0.0700845956833912,
0,0,0.07478477283685403,Traffic spike detected
1,1,-0.14327568045940342,High packet rate (possible DoS)
