Feature,Importance
41,0.11543094677680445
1,0.08359489992751373
2,0.08112830845754326
26,0.05010718728356102
29,0.04991253831689402
124,0.04907345399650732
30,0.04563263986955247
25,0.04541049382726419
31,0.039982630258572224
8,0.036060951622333616
40,0.030616193811358657
19,0.02847752815810977
35,0.02770193812048032
34,0.025574492725649486
38,0.023489400435272808
120,0.02289383160952958
42,0.021659078338562822
32,0.020882134258159695
22,0.019060938730547476
33,0.016927416813763557
60,0.013968914608013569
94,0.012871592346289535
28,0.0126360951089632
69,0.012322745637914958
21,0.011362824009929594
20,0.010856958529037104
37,0.010284270787102317
43,0.009313278797977007
36,0.008679232769566584
6,0.007882142212037715
59,0.0070851498472051105
24,0.00653356555549136
57,0.005038351835973051
44,0.004411402701758721
9,0.0041315423329715065
65,0.00398432219025638
23,0.003702481684607169
4,0.00355438064994239
0,0.0026548415217121702
27,0.0022869414444361444
119,0.0021775968812023086
116,0.0020054922761156583
99,0.0013474596212191407
89,0.0009880826155200465
64,0.0008873375661384752
18,0.0006828872511268171
110,0.0006777209032441145
39,0.0006649469602661688
105,0.0005682564493327212
121,0.0005035981827750502
117,0.000313169104255059
12,0.00021897818099975519
63,0.00019237132810886052
7,0.00017597727313399888
45,0.00014511907425874765
13,0.000122646056631059
108,0.00011113328671480884
10,0.00011029346560402049
49,9.06053904628826e-05
46,8.426706621375145e-05
47,7.96915967570047e-05
14,6.691748883068324e-05
50,6.606341569468872e-05
125,4.942778152015966e-05
115,4.062188628392114e-05
15,3.4385850436198314e-05
90,3.409708337375992e-05
73,2.9235576387505535e-05
106,2.8587540033567424e-05
122,2.837350499602854e-05
11,2.7287259759198263e-05
88,2.5162618754086414e-05
66,2.2994748004689462e-05
79,2.2491047251227377e-05
3,1.91696118481562e-05
118,1.6280419983618385e-05
5,1.5969064331208884e-05
56,1.5703784807176862e-05
92,1.4664506123097196e-05
107,1.4181559854374783e-05
101,1.3412305875129819e-05
91,1.2591160456600689e-05
95,1.0194346799110783e-05
80,9.763523487716565e-06
87,8.933606820630334e-06
123,6.723540137067605e-06
111,4.398477668841253e-06
97,3.905474508502559e-06
58,3.852205553432981e-06
109,3.2807749047991803e-06
96,3.2610597329552025e-06
81,3.082622171257141e-06
114,2.4204237956710294e-06
85,1.8973379317104138e-06
54,1.7749391876299574e-06
71,1.7377046919888702e-06
77,1.6532839024553738e-06
55,1.3804574093146642e-06
98,1.2700885912623102e-06
93,9.70450742704866e-07
75,9.146199666216634e-07
78,8.592723375943892e-07
84,7.950462504147669e-07
53,7.166819553925739e-07
82,6.286240611961366e-07
104,6.282064293375663e-07
102,6.253696907091214e-07
112,4.822189002517293e-07
52,2.9781746202954367e-07
83,1.0416773848397588e-07
113,6.063190391912775e-08
100,3.632962699257413e-08
74,2.5164118820803233e-08
86,1.6728303265032486e-08
61,1.3587865834595492e-08
62,6.372384872399745e-09
48,8.81487615216025e-10
51,6.291093973163785e-10
103,5.081853544551414e-10
68,1.703330950512215e-10
16,0.0
17,0.0
67,0.0
70,0.0
72,0.0
76,0.0
