Actual,Predicted,Anomaly_Score,Explanation
1,1,-0.1886727499485924,High packet rate (possible DoS)
1,1,-0.18261474011731493,High packet rate (possible DoS)
0,0,0.03547515362840581,"Data imbalance (possible exfiltration), Traffic spike detected"
1,1,-0.06932464626993307,Data imbalance (possible exfiltration)
1,1,-0.12738070117174316,
0,0,0.06791098746996355,Traffic spike detected
0,1,-0.03665945022692374,Data imbalance (possible exfiltration)
1,0,0.02310782491212021,
0,0,0.0676357111484931,
1,1,-0.007853499159151123,
1,1,-0.006108275143914266,
0,0,0.015695830870167016,
1,1,-0.18234232200522216,High packet rate (possible DoS)
1,1,-0.18931452543185356,"High packet rate (possible DoS), High error rate (suspicious behavior)"
0,1,-0.08225857335060882,Traffic spike detected
0,0,0.08320851581883332,
0,0,0.07583087434966107,
0,0,0.0807775624396812,
0,1,-0.09446224532070624,High packet rate (possible DoS)
1,1,-0.1893527045929031,High packet rate (possible DoS)
1,1,-0.15867354417946578,High packet rate (possible DoS)
1,1,-0.1704162102563166,High error rate (suspicious behavior)
0,0,0.07756935704955159,
0,0,0.07914714117347404,
1,1,-0.15676950939398127,High packet rate (possible DoS)
1,1,-0.15932847538607076,High packet rate (possible DoS)
0,0,0.06755669354608662,Traffic spike detected
0,0,0.08137952009258265,
1,1,-0.10363955677641012,"High packet rate (possible DoS), Data imbalance (possible exfiltration)"
0,1,-0.09594224458274214,High packet rate (possible DoS)
1,1,-0.08407860395876277,"Data imbalance (possible exfiltration), Traffic spike detected"
0,0,0.024808904778169993,Data imbalance (possible exfiltration)
0,0,0.056858189392615444,Traffic spike detected
0,1,-0.10922409001904998,
1,1,-0.22133395680369383,High packet rate (possible DoS)
1,1,-0.1536845769916343,
0,0,0.07027986466642505,Traffic spike detected
1,1,-0.0056113372270649164,
0,0,0.020020474312205994,High packet rate (possible DoS)
0,0,0.00927454537354555,"Data imbalance (possible exfiltration), Traffic spike detected"
1,1,-0.21136727332631866,"High packet rate (possible DoS), High error rate (suspicious behavior)"
0,0,0.07720875975995706,Traffic spike detected
0,0,0.05075166941055714,
0,0,0.05871193446226791,
1,1,-0.16393362851729532,High packet rate (possible DoS)
0,0,0.07890960915836015,
1,1,-0.19784753806010558,"High packet rate (possible DoS), High error rate (suspicious behavior)"
1,0,0.014602572770373468,"Data imbalance (possible exfiltration), Traffic spike detected"
1,1,-0.17238334047308335,High error rate (suspicious behavior)
0,1,-0.03351590586294889,High packet rate (possible DoS)
0,0,0.06449345822182345,
0,0,0.07149757121596534,Traffic spike detected
1,1,-0.16170473190917367,High packet rate (possible DoS)
1,1,-0.18574149293968634,High packet rate (possible DoS)
1,1,-0.02139944170278235,
0,0,0.0830084332472365,
1,1,-0.16393362851729532,High packet rate (possible DoS)
1,1,-0.029905104000321148,
1,1,-0.04747124049764656,
0,0,0.08122844992965911,
1,0,0.04860462752603356,
1,1,-0.037012049924344814,"Data imbalance (possible exfiltration), Traffic spike detected"
0,0,0.07152951086203924,
0,0,0.07334335842978079,Traffic spike detected
1,1,-0.21867635237386407,High packet rate (possible DoS)
0,0,0.07373130066031608,
1,1,-0.17918330261377313,
1,1,-0.18583242907356368,High packet rate (possible DoS)
1,1,-0.20810716066129265,"High packet rate (possible DoS), High error rate (suspicious behavior)"
0,0,0.07741691180938409,
1,1,-0.188014096079128,High packet rate (possible DoS)
0,0,0.027312036824001573,
0,0,0.08234419397945314,
0,0,0.07957412778911943,
1,1,-0.16151363985235256,High packet rate (possible DoS)
0,0,0.08393688839820607,
0,0,0.0809208194628982,
1,1,-0.026631851287339914,
0,0,0.08185609301744112,
0,0,0.07455582913042241,
1,1,-0.19294394381321534,High packet rate (possible DoS)
1,1,-0.18774333081572947,High packet rate (possible DoS)
1,1,-0.05085250640491212,Data imbalance (possible exfiltration)
0,0,0.0772751848651404,
0,0,0.07668347331312692,
0,0,0.07675384199596513,
1,1,-0.1673551125855144,High packet rate (possible DoS)
1,1,-0.17342085179931643,
0,0,0.07675346647942155,Traffic spike detected
0,0,0.03206258935161699,Data imbalance (possible exfiltration)
0,0,0.07884123661959341,
0,0,0.08071463367821274,
1,1,-0.18417837233655932,High packet rate (possible DoS)
1,1,-0.12142598955072303,
1,0,0.05236674193817725,
0,0,0.04005165998521898,
0,0,0.08235642990125092,
0,0,0.014536452027205882,
1,1,-0.19553961057487235,High error rate (suspicious behavior)
1,1,-0.1507211348009807,High packet rate (possible DoS)
1,1,-0.24988568285197366,High packet rate (possible DoS)
1,1,-0.005214094773730749,
1,1,-0.18733394499757927,High packet rate (possible DoS)
1,1,-0.18542433570810446,High packet rate (possible DoS)
0,0,0.04462952496077688,Data imbalance (possible exfiltration)
1,1,-0.1901099870577333,High packet rate (possible DoS)
1,1,-0.016490438365527993,
0,0,0.08234100691378654,
1,1,-0.18354811635123325,High packet rate (possible DoS)
0,0,0.07543896910954179,
0,0,0.06989537344667979,Traffic spike detected
1,1,-0.18842394223390346,High packet rate (possible DoS)
1,1,-0.025717094929002593,
1,1,-0.028026167562413495,
0,0,0.07564889818254467,
1,1,-0.21408996248305368,"High packet rate (possible DoS), High error rate (suspicious behavior)"
0,0,0.07824721693786157,
1,1,-0.05809029198178445,"High packet rate (possible DoS), Data imbalance (possible exfiltration)"
1,1,-0.1638073689152505,High packet rate (possible DoS)
1,1,-0.01996003829446491,Data imbalance (possible exfiltration)
0,0,0.07770538015070666,
1,1,-0.08420487625453199,"High packet rate (possible DoS), Data imbalance (possible exfiltration)"
1,1,-0.19525100638676607,High error rate (suspicious behavior)
1,1,-0.18612981822995633,High packet rate (possible DoS)
0,1,-0.03394730472786439,
0,1,-0.0007983733911438584,High packet rate (possible DoS)
1,0,0.031222625606712018,
1,1,-0.18450814752766231,High packet rate (possible DoS)
0,0,0.07173130051795285,
0,0,0.014780473747947442,
0,0,0.017629574225189737,
0,0,0.050516726887457675,Traffic spike detected
1,1,-0.11844509728324848,High error rate (suspicious behavior)
0,0,0.08117750533368251,
1,1,-0.09459489446284841,
0,0,0.06641851834190904,
1,1,-0.18976345673833594,High packet rate (possible DoS)
1,1,-0.021616580369256733,Data imbalance (possible exfiltration)
1,1,-0.14578297452741462,
0,0,0.07819395554881586,
0,0,0.07463320217410163,
0,0,0.011621512815897128,
1,1,-0.1854951326413481,High packet rate (possible DoS)
1,1,-0.18914085775704237,High packet rate (possible DoS)
1,1,-0.08928078069013823,"Data imbalance (possible exfiltration), Traffic spike detected"
1,1,-0.07491314233516178,Data imbalance (possible exfiltration)
1,1,-0.15223418903525843,High error rate (suspicious behavior)
1,1,-0.1843397341385521,High packet rate (possible DoS)
0,0,0.07788041722609879,Traffic spike detected
1,1,-0.08015560371186115,
1,1,-0.07855951313530563,
1,1,-0.21243194340498284,"High packet rate (possible DoS), High error rate (suspicious behavior)"
1,1,-0.12494667673101523,Data imbalance (possible exfiltration)
1,0,0.02950305614498694,Data imbalance (possible exfiltration)
0,0,0.07801089185802351,
1,1,-0.1911010429061839,High packet rate (possible DoS)
1,1,-0.07007686524355738,
1,1,-0.1640448689813223,High packet rate (possible DoS)
1,1,-0.1999716469354279,"High packet rate (possible DoS), High error rate (suspicious behavior)"
1,1,-0.21351907151675287,"High packet rate (possible DoS), High error rate (suspicious behavior)"
1,1,-0.18754364861434492,High packet rate (possible DoS)
1,1,-0.19992832441592623,"High packet rate (possible DoS), High error rate (suspicious behavior)"
1,1,-0.21518434103024697,High packet rate (possible DoS)
1,1,-0.1798886271429968,High packet rate (possible DoS)
1,1,-0.022067385189096844,
1,1,-0.19800222071306883,"High packet rate (possible DoS), High error rate (suspicious behavior)"
1,1,-0.2123875071374669,"High packet rate (possible DoS), High error rate (suspicious behavior)"
1,1,-0.023722199107414965,
0,0,0.07707365204573474,Traffic spike detected
1,1,-0.2113229121576975,"High packet rate (possible DoS), High error rate (suspicious behavior)"
1,1,-0.046823097116959866,
0,0,0.046037422967434405,Traffic spike detected
1,1,-0.18491884491357724,High packet rate (possible DoS)
1,1,-0.1923815299638758,High packet rate (possible DoS)
1,1,-0.08946434460162189,"Data imbalance (possible exfiltration), Traffic spike detected"
0,0,0.07851014409249979,
1,1,-0.22683989911367153,High packet rate (possible DoS)
1,1,-0.2182114319078663,High packet rate (possible DoS)
1,0,0.02627413352828678,
0,0,0.008588084056533996,Data imbalance (possible exfiltration)
1,1,-0.076554019387985,"High packet rate (possible DoS), Data imbalance (possible exfiltration)"
0,0,0.0008721829698351002,High packet rate (possible DoS)
0,0,0.030153430357883926,Traffic spike detected
0,0,0.07699701403099374,
0,0,0.011833243421306372,High packet rate (possible DoS)
1,0,0.04730737235168497,
1,1,-0.18281780165849648,High packet rate (possible DoS)
1,1,-0.1624681995324102,High packet rate (possible DoS)
0,0,3.871018034090623e-05,High packet rate (possible DoS)
1,1,-0.18791725864647502,High packet rate (possible DoS)
0,0,0.0757249580268477,
1,1,-0.04387993174472149,
1,1,-0.18141883326224262,High packet rate (possible DoS)
0,0,0.019279946702682293,"Data imbalance (possible exfiltration), Traffic spike detected"
0,0,0.08038390140740415,
0,1,-0.0018696736530801061,
0,1,-0.016702369162434172,
1,1,-0.002873174431645309,
1,1,-0.16037522489851364,High packet rate (possible DoS)
1,1,-0.01763125278669042,
1,1,-0.10657743023101551,
0,0,0.07847105548768474,
1,1,-0.18467154798952634,"High packet rate (possible DoS), High error rate (suspicious behavior)"
0,0,0.07325336625350576,Traffic spike detected
0,0,0.07996064648906798,
1,1,-0.21669268236618044,High packet rate (possible DoS)
1,1,-0.16103492857220403,High packet rate (possible DoS)
1,1,-0.16751859944315084,High error rate (suspicious behavior)
0,0,0.08145185807157418,
0,0,0.07738856214378403,
1,1,-0.1137335832221491,"Data imbalance (possible exfiltration), Traffic spike detected"
1,0,0.01861213344486312,Data imbalance (possible exfiltration)
0,0,0.07535980610635551,
0,0,0.07888182448048864,
0,1,-0.02595817411602952,Data imbalance (possible exfiltration)
1,1,-0.04133586501682718,"High packet rate (possible DoS), Data imbalance (possible exfiltration)"
0,0,0.07424241581456148,
0,1,-0.028627979319380326,Data imbalance (possible exfiltration)
0,0,0.08024399616960476,
1,1,-0.021173447373480925,Data imbalance (possible exfiltration)
0,0,0.07194849885441357,Traffic spike detected
0,0,0.07782165129970059,
0,1,-0.08275519701746814,High packet rate (possible DoS)
